proxy,model,model_display,setting,n,unique_problems,abstentions,spearman_rho,rho_ci_low,rho_ci_high,lower_confidence_auc,auc_ci_low,auc_ci_high,bootstrap_successes
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,96,96,1,-0.205211159103764,-0.4006434871448512,-0.18430038286751962,0.9789473684210527,0.9468085106382979,1.0,1235
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,QP6,94,94,2,-0.2858681176893843,-0.4518554721650442,-0.17844516898455604,0.9619565217391305,0.8924731182795699,1.0,1738
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,QP7,93,93,1,-0.2182337003464346,-0.40426998052543095,-0.19855637678747062,0.9891304347826086,0.967032967032967,1.0,1285
question_mean,deepseek-v4-pro,DeepSeek V4 Pro,Pooled,377,98,6,-0.24900295074378115,-0.40909036009214533,-0.12542657042097774,0.9649595687331537,0.8979883142273172,0.9947142298725412,1746
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,100,100,0,,,,,,,0
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-100,100,100,0,,,,,,,0
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP6,100,100,3,-0.005563862214484715,-0.25739982817723894,0.1802257297733508,0.5085910652920962,0.23440688775510204,0.98989898989899,1885
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,QP7,100,100,1,0.08585147736363052,0.07302368751645992,0.16948249486267014,0.2727272727272727,0.22727272727272727,0.3184719535783365,1269
question_mean,gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Pooled,400,100,4,0.019078106080806782,-0.1278276382301466,0.10957673604954866,0.4494949494949495,0.23908640949106433,0.9824120603015075,1905
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Quant-25,100,100,3,-0.07412553315445485,-0.21731798616656228,0.10395224754511481,0.6254295532646048,0.2727272727272727,0.8484848484848485,1902
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Quant-100,100,100,4,-0.0936983013227948,-0.24554317132359352,0.09437578573435713,0.6380208333333334,0.30303030303030304,0.8932105654761905,1963
question_mean,gpt-5.4-nano,GPT-5.4 Nano,QP6,99,99,11,-0.24969065090393866,-0.3954202139596946,-0.10073967524386077,0.7293388429752066,0.5956899865462234,0.8595876065289614,2000
question_mean,gpt-5.4-nano,GPT-5.4 Nano,QP7,100,100,3,-0.09849557145180986,-0.2589976609369802,0.10395570347060211,0.6666666666666666,0.26262626262626265,0.9292929292929293,1880
question_mean,gpt-5.4-nano,GPT-5.4 Nano,Pooled,399,100,21,-0.1412087174748604,-0.26828702039448143,-0.0012611946315583813,0.6825396825396826,0.5016242215819314,0.8379299406558733,2000
question_mean,qwen3.5-397b,Qwen3.5-397B,Quant-25,98,98,6,-0.045093753893210846,-0.2621635729514544,0.17594796730689613,0.5507246376811594,0.26063829787234044,0.8421052631578947,1998
question_mean,qwen3.5-397b,Qwen3.5-397B,Quant-100,99,99,3,-0.10791228719842362,-0.31571304514541554,0.13419969291832526,0.670138888888889,0.23711340206185566,1.0,1919
question_mean,qwen3.5-397b,Qwen3.5-397B,QP6,99,99,5,-0.11464200625472647,-0.27649840607193776,0.08558772406602824,0.6414893617021277,0.3775819384399365,0.8609106529209622,1989
question_mean,qwen3.5-397b,Qwen3.5-397B,QP7,99,99,5,0.047408348451202675,-0.18607588897770758,0.2152376927437487,0.4414893617021277,0.22618845500848897,0.7741173373240217,1991
question_mean,qwen3.5-397b,Qwen3.5-397B,Pooled,395,100,19,-0.051173228656411725,-0.19195288301575697,0.10503590819256173,0.5645996640537514,0.361686969073815,0.7497857283802878,2000
question_mean,All models,All models,Pooled,1971,100,55,-0.11446122017552547,-0.16268379985941145,-0.0496745201867641,0.6964367052571645,0.6053225014702776,0.7882877738323142,2000
