model,model_slug,qp,idx,cot_outcome,no_cot_outcome,cot_pred,no_cot_pred,ground_truth,no_cot_visible_reasoning,no_cot_refusal,no_cot_note
Claude Haiku 4.5,claude-haiku-4-5,QP6,2524,incorrect,correct,84,83,83,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2577,correct,incorrect,30,30°,30,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2637,correct,correct,1+\frac{1}{2009^2},1+\frac{1}{2009^2},\frac{4036082}{4036081},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2673,incorrect,incorrect,\frac{\pi}{8}-\frac{\ln2}{4},\frac{\pi\ln2}{8},\frac{3\pi}{8},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2748,incorrect,incorrect,C_n=\frac{1}{2n},C_n=\frac{1}{2n},\frac{1}{2n},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP6,2752,correct,correct,2^{n-1},2^{n-1},2^{n-1},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,30,incorrect,incorrect,50,20,6.25^2+3.75^2,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,64,incorrect,incorrect,45°,\frac{\pi}{4},{\angleNMB\cong45\cong\frac{\pi}{4}},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,82,incorrect,correct,\frac{256}{3125},\frac{1}{12},\frac{1}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,89,correct,incorrect,33,109,33,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,190,incorrect,incorrect,\frac{180}{19}°,\frac{360°}{19},\frac{1170}{19},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,224,incorrect,incorrect,12\sqrt{3},12\sqrt{3},\frac{846\sqrt{3}}{49},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,254,incorrect,incorrect,"76,204,200",71759280,436,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,258,correct,incorrect,10,4,10,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,280,incorrect,incorrect,40,44,17,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,303,incorrect,incorrect,3486784400,92,729,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,323,incorrect,incorrect,N\approx6.98\times10^9,2.87\times10^{10},327680\cdot2^{16},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,412,incorrect,incorrect,10001,3001,4002001,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,413,correct,correct,4,4,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,427,incorrect,incorrect,\frac{225}{4},\frac{75}{2},\frac{256}{7},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,530,incorrect,incorrect,10000,510,1409,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,535,incorrect,incorrect,210,168,168+48\sqrt{7},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,539,incorrect,incorrect,302,302,516,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,613,incorrect,incorrect,840,840,20160,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,627,incorrect,incorrect,126,126,105,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,650,correct,correct,2^{2015}(2^{2017}-2018),3\cdot2^{4031}-4032\cdot2^{2016}-2,2^{2015}\cdot(2^{2017}-2018),True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,742,incorrect,incorrect,30°,100,80,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,744,correct,correct,100,100,100,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,751,incorrect,incorrect,\frac{5\pi}{2},\frac{5\pi}{2},\frac{2\pi-\sqrt{3}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,760,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,855,correct,correct,24,24,24,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,873,explicit_abstention,incorrect,UNSURE,Pleaseprovidetheanswerchoices,\frac{1}{3}(3x)+\frac{2}{3}(9),True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,878,incorrect,incorrect,\frac{132+\sqrt{611}}{3},67,29,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,903,incorrect,correct,3,\frac{11}{3},\frac{11}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,933,incorrect,incorrect,243,243,32,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,936,incorrect,incorrect,\lfloor\frac{n(n-2)}{4}\rfloor,\lfloor\frac{(n-1)^2}{4}\rfloor,\binom{n}{2}-(n-2),True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1024,correct,correct,6,6,6,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1053,correct,correct,4,4,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1059,incorrect,incorrect,n-1,n,\lfloor\frac{-1+\sqrt{1+8n}}{2}\rfloor,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1067,correct,correct,41,41,41,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1082,correct,correct,64,64,64,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1134,correct,correct,320,320,320,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1184,correct,correct,4,4,4,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1189,correct,correct,1872,1872,1872,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1199,correct,incorrect,\frac{\sqrt{7}}{12},\frac{\sqrt{14}}{9},\frac{\sqrt{7}}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1207,correct,correct,72,72,72,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1244,correct,correct,\frac{3\sqrt{11}}{2},\frac{3\sqrt{11}}{2},\frac{3\sqrt{11}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1256,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1260,correct,correct,\frac{175}{1296},\frac{175}{1296},\frac{175}{1296},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1331,correct,correct,37,37,37,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1342,correct,correct,470,470,470,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1362,correct,correct,55,55,55,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1401,correct,correct,\frac{1}{9},\frac{1}{9},\frac{1}{9},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1404,instructed_no_box_abstention,correct,NO_BOX,673,673,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1459,correct,correct,899,899,899,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1464,correct,correct,356,356,356,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1470,correct,correct,\frac{592}{969},\frac{592}{969},\frac{592}{969},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1534,incorrect,incorrect,6,408,153,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1541,correct,correct,153,153,153,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1564,incorrect,incorrect,13296,39846,134610,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1638,correct,correct,\frac{\pi}{4},\frac{\pi}{4},\frac{\pi}{4},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1671,correct,correct,1980,1980,1980,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1683,correct,correct,26,26,26,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1701,correct,correct,\frac{1-\sqrt{2}}{2},\frac{1-\sqrt{2}}{2},\frac{1-\sqrt{2}}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1723,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1724,correct,correct,12,12,12,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1733,correct,correct,100,100,100,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1758,correct,correct,225,225,225,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1765,correct,correct,342,342,342,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1768,incorrect,incorrect,29,29,35,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1770,correct,correct,144,144,144,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1774,correct,correct,3,3,3,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1794,correct,correct,5460,5460,5460,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1803,correct,correct,2-\frac{\pi}{2},2-\frac{\pi}{2},2-\frac{\pi}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1815,correct,correct,\frac{2}{9},\frac{2}{9},\frac{2}{9},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1821,correct,correct,\frac{153}{1180},\frac{153}{1180},\frac{153}{1180},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1852,correct,correct,\frac{1}{1296},\frac{1}{1296},\frac{1}{1296},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1938,correct,correct,\sqrt{3},\sqrt{3},\sqrt{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,1953,incorrect,correct,\frac{1}{3},\frac{5}{12},\frac{5}{12},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2011,incorrect,correct,313,314,314,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2034,incorrect,incorrect,\frac{3}{2},\frac{1+\sqrt{5}}{2},\frac{5}{3},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2041,correct,correct,2^{2013}-6036,2^{2013}-6036,2^{2013}-6036,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2074,incorrect,incorrect,2014,2816,7295,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2090,correct,correct,1008.5,1008.5,\frac{2017}{2},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2115,correct,incorrect,820,512,820,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2118,correct,incorrect,14,\frac{35}{2},14,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2128,correct,incorrect,\frac{108}{665},\frac{72}{665},\frac{108}{665},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2130,correct,correct,7,7,7,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2133,correct,correct,\frac{163}{256},\frac{163}{256},\frac{163}{256},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2197,correct,correct,117,117,117,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2201,correct,correct,71,71,71,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2227,correct,correct,6,6,6,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2242,correct,correct,0,0,0,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2279,correct,correct,1,1,1,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2291,correct,correct,\frac{1}{8},\frac{1}{8},\frac{1}{8},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2332,correct,correct,46,46,46,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2350,correct,correct,56,56,56,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2416,correct,correct,2,2,2,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2447,correct,correct,5,5,5,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2507,incorrect,incorrect,196,170,192,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2524,correct,incorrect,83,500,83,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2577,incorrect,incorrect,36°,36°,30,True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2637,correct,correct,\frac{4036082}{4036081},\frac{4036082}{4036081},\frac{4036082}{4036081},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2673,incorrect,incorrect,\frac{\pi}{8}-\frac{\ln2}{4},\frac{\pi}{8}-\frac{\ln2}{4},\frac{3\pi}{8},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2748,incorrect,correct,C_n=\frac{1}{2n},\frac{1}{2n},\frac{1}{2n},True,False,
Claude Haiku 4.5,claude-haiku-4-5,QP7,2752,correct,incorrect,2^{n-1},\frac{1}{n}\binom{2n-2}{n-1},2^{n-1},True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,30,indeterminate,indeterminate,,,6.25^2+3.75^2,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,64,incorrect,incorrect,45,45,{\angleNMB\cong45\cong\frac{\pi}{4}},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,82,correct,correct,\frac{1}{12},\frac{1}{12},\frac{1}{12},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,89,correct,correct,33,33,33,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,190,incorrect,incorrect,\frac{13\pi}{38},\frac{13\pi}{38},\frac{1170}{19},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,224,correct,correct,\frac{846\sqrt{3}}{49},\frac{846\sqrt{3}}{49},\frac{846\sqrt{3}}{49},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,254,correct,correct,436,436,436,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,258,correct,correct,10,10,10,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,280,correct,correct,17,17,17,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,303,indeterminate,indeterminate,,,729,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,323,incorrect,incorrect,25769803776,17179869184,327680\cdot2^{16},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,412,correct,correct,4002001,4002001,4002001,True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,413,incorrect,explicit_abstention,\infty,UNSURE,4,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,427,correct,correct,\frac{256}{7},\frac{256}{7},\frac{256}{7},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,530,indeterminate,indeterminate,,,1409,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,535,correct,correct,168+48\sqrt{7},168+48\sqrt{7},168+48\sqrt{7},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,539,correct,correct,516,516,516,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,613,correct,correct,20160,20160,20160,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,627,incorrect,incorrect,663,126,105,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,650,correct,correct,2^{4032}-1009\cdot2^{2016},2^{4032}-2018\cdot2^{2015},2^{2015}\cdot(2^{2017}-2018),False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,742,correct,explicit_abstention,80,UNSURE,80,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,744,correct,correct,100,100,100,True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,751,explicit_abstention,explicit_abstention,UNSURE,UNSURE,\frac{2\pi-\sqrt{3}}{2},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,760,correct,correct,5,5,5,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,855,correct,correct,24,24,24,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,873,explicit_abstention,explicit_abstention,UNSURE,UNSURE,\frac{1}{3}(3x)+\frac{2}{3}(9),False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,878,correct,correct,29,29,29,False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,903,correct,correct,\frac{11}{3},\frac{11}{3},\frac{11}{3},False,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,933,correct,correct,32,32,32,True,False,
DeepSeek V4 Pro,deepseek-v4-pro,QP6,936,correct,correct,\binom{n}{2}-n+2,\binom{n}{2}-n+2,\binom{n}{2}-(n-2),False,False,
