model,intervention,setting,confidence_parse_status,confidence_parse_route,confidence_normalization,n,abstentions,candidate_answers_graded,stored_comparisons,stored_matches
deepseek-v4-pro,1,Quant-25,parsed_conflicting,explicit_line,unit_interval,1,0,1,1,True
deepseek-v4-pro,1,Quant-25,parsed_prose,prose_fallback,unit_interval,1,1,0,0,0
deepseek-v4-pro,2,QP6,missing,none,none,1,1,1,0,0
deepseek-v4-pro,2,QP6,parsed,explicit_line,unit_interval,99,11,91,99,98
deepseek-v4-pro,2,QP7,missing,none,none,1,0,1,0,0
deepseek-v4-pro,2,QP7,parsed,explicit_line,unit_interval,95,15,87,94,93
deepseek-v4-pro,2,Quant-100,parsed,explicit_line,implicit_percent,1,0,1,1,True
deepseek-v4-pro,2,Quant-100,parsed,explicit_line,unit_interval,99,18,92,99,97
deepseek-v4-pro,2,Quant-25,missing,none,none,2,0,2,0,0
deepseek-v4-pro,2,Quant-25,parsed,explicit_line,unit_interval,98,11,89,97,93
gemini-3.1-flash-lite-preview,1,QP6,parsed,explicit_line,unit_interval,100,4,97,60,60
gemini-3.1-flash-lite-preview,1,QP7,parsed,explicit_line,unit_interval,100,3,98,56,56
gemini-3.1-flash-lite-preview,1,Quant-100,parsed,explicit_line,unit_interval,100,15,99,31,31
gemini-3.1-flash-lite-preview,1,Quant-25,parsed,explicit_line,unit_interval,99,20,98,44,44
gemini-3.1-flash-lite-preview,1,Quant-25,parsed_prose,prose_fallback,unit_interval,1,1,1,0,0
gemini-3.1-flash-lite-preview,2,QP6,parsed,explicit_line,unit_interval,100,19,99,100,100
gemini-3.1-flash-lite-preview,2,QP7,parsed,explicit_line,unit_interval,100,13,100,100,100
gemini-3.1-flash-lite-preview,2,Quant-100,parsed,explicit_line,unit_interval,100,32,99,100,100
gemini-3.1-flash-lite-preview,2,Quant-25,parsed,explicit_line,unit_interval,100,32,100,100,100
gpt-5.4-nano,1,QP6,missing,none,none,6,6,1,0,0
gpt-5.4-nano,1,QP6,parsed,explicit_line,unit_interval,90,29,76,34,34
gpt-5.4-nano,1,QP6,parsed,latex_line,unit_interval,4,2,2,0,0
gpt-5.4-nano,1,QP7,missing,none,none,4,4,0,0,0
gpt-5.4-nano,1,QP7,parsed,explicit_line,unit_interval,92,20,79,16,16
gpt-5.4-nano,1,QP7,parsed,latex_line,unit_interval,3,2,2,0,0
gpt-5.4-nano,1,Quant-100,missing,none,none,2,1,1,0,0
gpt-5.4-nano,1,Quant-100,parsed,explicit_line,unit_interval,92,48,84,26,26
gpt-5.4-nano,1,Quant-100,parsed,latex_line,unit_interval,5,3,3,0,0
gpt-5.4-nano,1,Quant-25,parsed,explicit_line,unit_interval,98,56,91,28,28
gpt-5.4-nano,1,Quant-25,parsed,latex_line,unit_interval,2,0,1,0,0
gpt-5.4-nano,2,QP6,parsed,explicit_line,unit_interval,100,91,100,100,100
gpt-5.4-nano,2,QP7,parsed,explicit_line,unit_interval,100,87,100,99,99
gpt-5.4-nano,2,Quant-100,parsed,explicit_line,unit_interval,99,76,98,99,99
gpt-5.4-nano,2,Quant-25,parsed,explicit_line,unit_interval,100,82,100,100,100
qwen3.5-397b,1,QP6,missing,none,none,2,0,0,0,0
qwen3.5-397b,1,QP6,parsed,explicit_line,unit_interval,98,2,95,96,91
qwen3.5-397b,1,QP7,missing,none,none,6,4,0,0,0
qwen3.5-397b,1,QP7,parsed,explicit_line,unit_interval,94,2,92,90,82
qwen3.5-397b,1,Quant-100,parsed,explicit_line,unit_interval,99,6,98,97,77
qwen3.5-397b,1,Quant-100,parsed_conflicting,explicit_line,unit_interval,1,0,1,1,True
qwen3.5-397b,1,Quant-25,missing,none,none,6,5,0,0,0
qwen3.5-397b,1,Quant-25,parsed,explicit_line,unit_interval,93,4,90,89,73
qwen3.5-397b,1,Quant-25,parsed_conflicting,explicit_line,unit_interval,1,0,1,1,True
qwen3.5-397b,2,QP6,missing,none,none,3,2,3,0,0
qwen3.5-397b,2,QP6,parsed,explicit_line,unit_interval,97,15,93,97,95
qwen3.5-397b,2,QP7,missing,none,none,3,0,3,0,0
qwen3.5-397b,2,QP7,parsed,explicit_line,unit_interval,92,12,84,92,90
qwen3.5-397b,2,Quant-100,missing,none,none,1,0,1,0,0
qwen3.5-397b,2,Quant-100,parsed,explicit_line,unit_interval,99,17,93,99,94
qwen3.5-397b,2,Quant-25,missing,none,none,1,0,1,0,0
qwen3.5-397b,2,Quant-25,parsed,explicit_line,unit_interval,99,18,90,99,95
