model,model_display,intervention,intervention_display,setting,setting_display,consequence_type,penalty,decision_threshold,idx,difficulty,domain,source,category,abstained,outcome_valid,final_score,ground_truth,candidate_answer_raw,candidate_answer,candidate_parse_status,candidate_match_count,confidence_raw,confidence_line,confidence,confidence_parse_status,confidence_parse_route,confidence_normalization,confidence_match_count,confidence_conflict,stored_confidence_raw,stored_confidence_normalized,stored_confidence_match,source_path,candidate_correct
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,82,7.5,"[""Mathematics -> Algebra -> Algebra -> Equations and Inequalities"", ""Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives""]",china_team_selection_test,incorrect_standard,0,True,False,\frac{1}{12},$\frac{1}{16}$,\frac{1}{16},parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2041,4.0,"[""Mathematics -> Algebra -> Intermediate Algebra -> Other""]",HMMT_11,correct,0,True,True,2^{2013}-6036,$2^{2013} - 6036$,2^{2013} - 6036,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1244,4.0,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_2,correct,0,True,True,\frac{3\sqrt{11}}{2},$\frac{3\sqrt{11}}{2}$,\frac{3\sqrt{11}}{2},parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2011,6.0,"[""Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives"", ""Mathematics -> Algebra -> Intermediate Algebra -> Other""]",HMMT_11,incorrect_standard,0,True,False,314,313,313,parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2074,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Polygons"", ""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_11,incorrect_standard,0,True,False,7295,2314,2314,parsed,1,0.35,CONFIDENCE: 0.35,0.35,parsed,explicit_line,unit_interval,1,False,0.35,0.35,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,254,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Area"", ""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other""]",HMMT_2,abstained,1,True,False,436,117600,117600,parsed,1,0.25,CONFIDENCE: 0.25,0.25,parsed,explicit_line,unit_interval,1,False,0.25,0.25,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2130,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations"", ""Mathematics -> Geometry -> Plane Geometry -> Angles""]",HMMT_11,correct,0,True,True,7,7,7,parsed,1,0.45,CONFIDENCE: 0.45,0.45,parsed,explicit_line,unit_interval,1,False,0.45,0.45,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,258,4.5,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations""]",HMMT_2,incorrect_standard,0,True,False,10,50,50,parsed,1,0.35,CONFIDENCE: 0.35,0.35,parsed,explicit_line,unit_interval,1,False,0.35,0.35,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,190,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Polygons""]",HMMT_2,abstained,1,True,False,\frac{1170}{19},540°/19 or equivalently 180·3/19 degrees,540°/19 or equivalently 180·3/19 degrees,parsed,1,0.3,CONFIDENCE: 0.3,0.3,parsed,explicit_line,unit_interval,1,False,0.3,0.3,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,89,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Angles""]",HMMT_2,incorrect_standard,0,True,False,33,33°,33°,parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2201,2.0,"[""Mathematics -> Number Theory -> Factorization""]",cayley,correct,0,True,True,71,71,71,parsed,1,0.98,CONFIDENCE: 0.98,0.98,parsed,explicit_line,unit_interval,1,False,0.98,0.98,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1342,3.5,"[""Mathematics -> Discrete Mathematics -> Combinatorics""]",HMMT_2,correct,0,True,True,470,470,470,parsed,1,0.85,CONFIDENCE: 0.85,0.85,parsed,explicit_line,unit_interval,1,False,0.85,0.85,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2197,4.0,"[""Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions""]",HMMT_11,correct,0,True,True,117,117,117,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2242,5.25,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other""]",HMMT_11,correct,0,True,True,0,0**,0,parsed,1,0.95,**CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,,,,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1189,5.0,"[""Mathematics -> Number Theory -> Factorization""]",HMMT_2,correct,0,True,True,1872,1872,1872,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2227,2.0,"[""Mathematics -> Algebra -> Prealgebra -> Integers""]",cayley,correct,0,True,True,6,6,6,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1362,5.0,"[""Mathematics -> Number Theory -> Divisor Functions -> Other""]",HMMT_2,correct,0,True,True,55,55,55,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,280,5.25,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations"", ""Mathematics -> Number Theory -> Congruences""]",HMMT_2,incorrect_mixed,0,True,False,17,50,50,parsed,1,0.25,CONFIDENCE: 0.25,0.25,parsed,explicit_line,unit_interval,1,False,0.25,0.25,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1401,4.0,"[""Mathematics -> Number Theory -> Factorization""]",HMMT_2,correct,0,True,True,\frac{1}{9},$\frac{1}{9}$,\frac{1}{9},parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2332,1.0,"[""Mathematics -> Algebra -> Prealgebra -> Simple Equations""]",pascal,correct,0,True,True,46,46,46,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2279,1.0,"[""Mathematics -> Algebra -> Prealgebra -> Integers""]",fermat,correct,0,True,True,1,1,1,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2291,2.5,"[""Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions""]",fermat,correct,0,True,True,\frac{1}{8},$\frac{1}{8}$,\frac{1}{8},parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,323,5.5,"[""Mathematics -> Algebra -> Linear Algebra -> Matrices""]",HMMT_2,abstained,1,True,False,327680\cdot2^{16},"$17^{8.5} \approx 2.88 \times 10^{10}$ or more precisely approximately **28,754,457,886**","$17^{8.5} \approx 2.88 \times 10^{10}$ or more precisely approximately **28,754,457,886",parsed,1,0.45,CONFIDENCE: 0.45,0.45,parsed,explicit_line,unit_interval,1,False,0.45,0.45,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1459,5.5,"[""Mathematics -> Algebra -> Algebra -> Polynomial Operations""]",HMMT_2,incorrect_mixed,0,True,False,899,899,899,parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,303,5.0,"[""Mathematics -> Discrete Mathematics -> Combinatorics""]",HMMT_2,incorrect_mixed,0,True,False,729,"$n = 1048575$ (i.e., $2^{20}-1$)","$n = 1048575$ (i.e., $2^{20}-1$)",parsed,1,0.25,CONFIDENCE: 0.25,0.25,parsed,explicit_line,unit_interval,1,False,0.25,0.25,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,413,6.0,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",apmoapmo_sol,abstained,1,True,False,4,8,8,parsed,1,0.35,CONFIDENCE: 0.35,0.35,parsed,explicit_line,unit_interval,1,False,0.35,0.35,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1404,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Circles""]",HMMT_2,incorrect_standard,0,True,False,673,592,592,parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,412,5.0,"[""Mathematics -> Algebra -> Algebra -> Polynomial Operations""]",HMMT_2,abstained,1,True,False,4002001,10007,10007,parsed,1,0.45,CONFIDENCE: 0.45,0.45,parsed,explicit_line,unit_interval,1,False,0.45,0.45,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2350,2.0,"[""Mathematics -> Algebra -> Prealgebra -> Integers""]",fermat,correct,0,True,True,56,56,56,parsed,1,0.98,CONFIDENCE: 0.98,0.98,parsed,explicit_line,unit_interval,1,False,0.98,0.98,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1464,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Polygons""]",HMMT_2,correct,0,True,True,356,356,356,parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1470,5.0,"[""Mathematics -> Algebra -> Algebra -> Polynomial Operations"", ""Mathematics -> Algebra -> Algebra -> Equations and Inequalities""]",HMMT_2,incorrect_standard,0,True,False,\frac{592}{969},$\frac{3}{4}$,\frac{3}{4},parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2416,1.0,"[""Mathematics -> Algebra -> Prealgebra -> Simple Equations""]",pascal,correct,0,True,True,2,$x = 2$,x = 2,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,530,5.0,"[""Mathematics -> Algebra -> Algebra -> Equations and Inequalities"", ""Mathematics -> Discrete Mathematics -> Algorithms""]",HMMT_11,abstained,1,True,False,1409,560,560,parsed,1,0.25,CONFIDENCE: 0.25,0.25,parsed,explicit_line,unit_interval,1,False,0.25,0.25,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1638,3.5,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other""]",HMMT_11,correct,0,True,True,\frac{\pi}{4},$\frac{\pi}{4}$,\frac{\pi}{4},parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2447,2.5,"[""Mathematics -> Algebra -> Prealgebra -> Integers""]",pascal,correct,0,True,True,5,5,5,parsed,1,0.99,CONFIDENCE: 0.99,0.99,parsed,explicit_line,unit_interval,1,False,0.99,0.99,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,535,5.25,"[""Mathematics -> Geometry -> Plane Geometry -> Triangulations"", ""Mathematics -> Algebra -> Intermediate Algebra -> Other""]",HMMT_2,incorrect_standard,0,True,False,168+48\sqrt{7},168,168,parsed,1,0.75,CONFIDENCE: 0.75,0.75,parsed,explicit_line,unit_interval,1,False,0.75,0.75,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,539,5.25,"[""Mathematics -> Algebra -> Algebra -> Equations and Inequalities"", ""Mathematics -> Geometry -> Plane Geometry -> Angles"", ""Mathematics -> Precalculus -> Trigonometric Functions""]",HMMT_2,incorrect_standard,0,True,False,516,,,missing,0,,,,missing,none,none,0,False,,,,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1534,5.0,"[""Mathematics -> Algebra -> Algebra -> Algebraic Expressions""]",HMMT_2,abstained,1,True,False,153,,,missing,0,,,,missing,none,none,0,False,,,,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,427,5.0,"[""Mathematics -> Geometry -> Plane Geometry -> Angles"", ""Mathematics -> Geometry -> Plane Geometry -> Triangulations""]",HMMT_2,abstained,1,True,False,\frac{256}{7},37.5,37.5,parsed,1,0.4,CONFIDENCE: 0.4,0.4,parsed,explicit_line,unit_interval,1,False,0.4,0.4,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,1671,4.5,"[""Mathematics -> Algebra -> Algebra -> Equations and Inequalities"", ""Mathematics -> Number Theory -> Prime Numbers""]",HMMT_2,correct,0,True,True,1980,1980,1980,parsed,1,0.98,CONFIDENCE: 0.98,0.98,parsed,explicit_line,unit_interval,1,False,0.98,0.98,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,742,2.5,"[""Mathematics -> Geometry -> Plane Geometry -> Angles""]",fermat,abstained,1,True,False,80,20**,20,parsed,1,0.25,CONFIDENCE: 0.25,0.25,parsed,explicit_line,unit_interval,1,False,0.25,0.25,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,0.0
claude-haiku-4-5,Claude Haiku 4.5,1,"Single-turn, multi-step",Quant-25,$r_{25}$,quantitative,25.0,0.9615384615384616,2133,4.0,"[""Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other""]",HMMT_11,correct,0,True,True,\frac{163}{256},$\frac{163}{256}$,\frac{163}{256},parsed,1,0.95,CONFIDENCE: 0.95,0.95,parsed,explicit_line,unit_interval,1,False,0.95,0.95,True,evaluation/output/interventions/claude-haiku-4-5_int1_Quant-25/cautious_eval.jsonl,1.0
